txhash,contractAddress,contractName,balances.eth._hex,balances.eth._isBigNumber
0xae2f64bc4d75cdd85e2cc0933dfe2c4b71c3ffbc9bb83987a523c1cfc5fb1b9d,0x4146b889b1142bd6b97067fee8c9fa8c3d854bbc,PreachersCompFiLqdt,0x01f4,true
0xccbee62cb2e9180cd90fa05e064448b4a2713f02558499b7e382e32638828c5b,0xdda0126bf47de0836aa22b9f57c54ecd8baf0cb2,EtherCash,0x016bcc41e90000,true
